index,Model,Score
1,o1-preview,1345.7181575729646
2,o1-mini,1334.0970517450505
3,athene-v2-chat,1298.7268477236453
4,gemini-1.5-pro-exp-0827,1287.146126185441
5,gpt-4o-2024-05-13,1286.9168803144094
6,claude-3-5-sonnet-20240620,1276.8037982595183
7,deepseek-v2.5,1269.1683676769062
8,gpt-4o-mini-2024-07-18,1267.0777736821806
9,qwen2.5-72b-instruct,1267.0223285389093
10,gpt-4o-2024-08-06,1265.1558990237413
11,gemini-1.5-flash-exp-0827,1264.7450813720498
12,mistral-large-2407,1256.9895106094637
13,gpt-4-turbo-2024-04-09,1254.176351438302
14,claude-3-opus-20240229,1246.460380557151
15,gpt-4-1106-preview,1246.1086039159468
16,athene-70b-0725,1243.789467587123
17,gpt-4-0125-preview,1243.173012905423
18,yi-large-preview,1242.0911301688407
19,llama-3.1-70b-instruct,1240.2221751133998
20,qwen-plus-0828,1240.0094724683645
21,deepseek-coder-v2-0724,1233.9346747709296
22,deepseek-v2-api-0628,1233.6409371253949
23,jamba-1.5-large,1214.5854120509448
24,glm-4-0520,1211.8444378718896
25,deepseek-coder-v2,1211.0791182484736
26,yi-large,1209.7059908557012
27,nemotron-4-340b-instruct,1202.984514516615
28,gemma-2-27b-it,1202.4964248699343
29,gemma-2-9b-it-simpo,1200.3670225722271
30,claude-3-sonnet-20240229,1200.0640601526434
31,reka-core-20240722,1199.9144136332375
32,llama-3-70b-instruct,1196.7497223891942
33,gpt-4-0314,1195.8595186960574
34,gemini-1.5-flash-8b-exp-0827,1195.1057869417396
35,qwen2-72b-instruct,1189.236436401014
36,reka-core-20240501,1187.2280504783275
37,command-r-plus-08-2024,1184.8455411792288
38,llama-3.1-8b-instruct,1178.4637704704642
39,claude-3-haiku-20240307,1178.3714924615997
40,internlm2_5-20b-chat,1175.9234081296718
41,reka-flash-20240722,1175.8267017438106
42,command-r-plus,1169.3600166597853
43,qwen1.5-110b-chat,1168.9837451695698
44,gpt-4-0613,1168.3977042760462
45,command-r-08-2024,1167.8254406414994
46,gemma-2-9b-it,1166.144858904015
47,jamba-1.5-mini,1164.7347678252272
48,mistral-large-2402,1164.1091542047257
49,yi-1.5-34b-chat,1161.629504117545
50,mixtral-8x22b-instruct-v0.1,1149.7400256466076
51,qwen1.5-72b-chat,1147.050580753611
52,reka-flash-21b-20240226-online,1141.6194698950362
53,reka-flash-preview-20240611,1141.4719634701437
54,qwen1.5-32b-chat,1136.6262150063008
55,llama-3-8b-instruct,1135.207311176076
56,reka-flash-21b-20240226,1132.5492508286811
57,gpt-3.5-turbo-0314,1132.47055553249
58,phi-3-medium-4k-instruct,1128.9533118637062
59,claude-2.0,1128.9407726949853
60,gpt-3.5-turbo-0613,1121.5490993614198
61,zephyr-orpo-141b-A35b-v0.1,1120.5848847727266
62,starling-lm-7b-beta,1119.390575424732
63,command-r,1119.2426155492349
64,claude-2.1,1118.77787901788
65,qwen1.5-14b-chat,1116.1885522065477
66,mixtral-8x7b-instruct-v0.1,1114.0
67,gpt-3.5-turbo-0125,1111.1543975733052
68,claude-instant-1,1109.2073557553063
69,gemma-2-2b-it,1109.0476927377595
70,dbrx-instruct-preview,1107.5466937621272
71,gemini-pro-dev-api,1107.066198328068
72,phi-3-small-8k-instruct,1104.8305603173155
73,yi-34b-chat,1102.8597885202869
74,tulu-2-dpo-70b,1099.417981800333
75,llama-3.2-3b-instruct,1098.2096840532763
76,gpt-3.5-turbo-1106,1092.7901937829643
77,phi-3-mini-4k-instruct-june-2024,1088.3937600501981
78,openchat-3.5-0106,1083.7306713176872
79,phi-3-mini-4k-instruct,1080.2485572509804
80,wizardlm-70b,1078.6697761507367
81,gemma-1.1-7b-it,1076.9557468018868
82,starling-lm-7b-alpha,1074.566617755403
83,openhermes-2.5-mistral-7b,1071.2031921432522
84,snowflake-arctic-instruct,1070.7844346363195
85,llama-2-70b-chat,1069.5492915340446
86,mistral-7b-instruct-v0.2,1068.9880905871014
87,qwen1.5-7b-chat,1068.6546107231484
88,vicuna-33b,1067.811352407268
89,llama-3.2-1b-instruct,1067.3306136081806
90,deepseek-llm-67b-chat,1067.277985812525
91,openchat-3.5,1067.0812437072332
92,mpt-30b-chat,1058.7316593557516
93,solar-10.7b-instruct-v1.0,1054.9521400131198
94,nous-hermes-2-mixtral-8x7b-dpo,1053.014548533139
95,llama-2-13b-chat,1050.1635313572326
96,dolphin-2.2.1-mistral-7b,1048.8759758206602
97,llama2-70b-steerlm-chat,1048.1460428589817
98,codellama-70b-instruct,1047.588418943904
99,gemma-7b-it,1045.4379260271257
100,phi-3-mini-128k-instruct,1033.6050705821228
101,vicuna-13b,1030.2703308419207
102,zephyr-7b-beta,1028.7799961468686
103,pplx-70b-online,1027.2688487788491
104,codellama-34b-instruct,1027.022058806283
105,qwen-14b-chat,1026.3297523786853
106,zephyr-7b-alpha,1024.5506635830798
107,wizardlm-13b,1017.3415375949345
108,pplx-7b-online,1015.0804802630169
109,gemma-1.1-2b-it,1014.8354108185817
110,guanaco-33b,1010.5372895065407
111,llama-2-7b-chat,1009.5422586866492
112,mistral-7b-instruct,1003.3626711852219
113,stripedhyena-nous-7b,1000.4350800385196
114,olmo-7b-instruct,995.5467994346557
115,vicuna-7b,995.4879389125447
116,falcon-180b-chat,994.7322531095512
117,gemma-2b-it,989.0810328499047
118,qwen1.5-4b-chat,976.8274964662029
119,chatglm3-6b,955.6546867801051
120,gpt4all-13b-snoozy,939.329053419065
121,koala-13b,939.256491361966
122,chatglm2-6b,913.2031885323315
123,mpt-7b-chat,907.356725390697
124,chatglm-6b,906.7833215351408
125,RWKV-4-Raven-14B,905.2044450554217
126,oasst-pythia-12b,891.5203773797724
127,stablelm-tuned-alpha-7b,839.8038108704872
128,alpaca-13b,831.9363868866598
129,fastchat-t5-3b,819.9848778668486
130,dolly-v2-12b,804.746866608641
131,llama-13b,734.7950068506092
