model,content_creation,content_creation_rank,language_translation,language_translation_rank,programming_concepts,programming_concepts_rank
mistral-large-2407,1263.7578565354243,10,1226.192052865555,17,1215.6074102013,6
gemma-2-9b-it,1193.8527005356427,25,1172.208415481683,31,1093.8775530197677,39
mixtral-8x22b-instruct-v0.1,1148.7345379464714,40,1146.1060032477758,42,1024.882550228363,53
gemini-1.5-pro-api-0514,1248.7709238445486,14,1238.2038256352257,10,1187.7815831032672,14
llama-3.1-8b-instruct,1179.599625191446,31,1145.6881684544642,44,1105.1858041524022,36
claude-3-opus-20240229,1185.795839100248,29,1222.2434972596102,18,1163.0960153448923,18
gpt-4-turbo-2024-04-09,1250.0305497267718,12,1233.059026785082,14,1167.4804291617402,16
llama-3-70b-instruct,1270.6733286272479,8,1249.1963688958558,8,1150.7437544501272,23
claude-3-sonnet-20240229,1143.3775255980986,43,1151.7192435137742,40,1161.3343515435872,19
athene-70b-0725,1261.8776175313706,11,1293.4812336707978,2,1198.263489294142,9
claude-3-5-sonnet-20240620,1220.077881161687,20,1259.646937355984,5,1230.0385820795723,4
claude-3-haiku-20240307,1158.811574464461,37,1162.3863601332514,36,1124.880584823939,30
gemini-1.5-flash-api-0514,1217.6073074629294,21,1215.6459651946457,21,1160.847682127589,20
qwen2-72b-instruct,1165.3751241433852,35,1167.2540378018743,32,1142.4036213235331,26
gpt-4-0125-preview,1230.855719862619,17,1236.4685420854912,11,1194.5084863738912,11
reka-flash-20240722,1168.4285539936361,34,1217.54848716174,19,1122.1264600408579,31
yi-large,1162.0631119907962,36,1177.0858545220722,28,1151.161773703092,22
llama-3.1-70b-instruct,1272.7094540663907,6,1233.9279935556115,13,1208.7605912714935,8
dbrx-next,1108.4069423028632,49,1153.0642003376774,39,1089.6645788555888,41
command-r,1147.207943887249,41,1133.9896783730255,48,1063.7075389752736,49
gpt-4o-mini-2024-07-18,1276.971869972063,4,1266.3750404751913,4,1212.1380046819208,7
gpt-4o-2024-08-06,1248.7688528632052,15,1248.6462006677025,9,1192.3007977916536,13
deepseek-v2-api-0628,1194.632586244486,24,1162.4467698282874,35,1142.7939540618468,25
gpt-4-0613,1155.9504839128954,38,1161.0618744797148,37,1117.7816142993015,32
gemma-2-27b-it,1239.2408207637363,16,1217.1728839245743,20,1093.9777077435654,38
gpt-4o-2024-05-13,1271.2530450259587,7,1259.0161859138448,7,1219.263321747591,5
gemma-2-2b-it,1131.2806644543239,45,1122.2681940285177,50,1031.713951500276,52
gemini-1.5-pro-exp-0801,1298.883165096368,2,1259.4593154057143,6,1192.6876794412983,12
llama-3-8b-instruct,1182.154707375349,30,1180.258651966442,27,1091.7761675455595,40
mixtral-8x7b-instruct-v0.1,1114.0,48,1114.0,51,1114.0,33
phi-3-mini-4k-instruct,1078.5383036817402,51,1186.4641065498727,25,1073.2297152565047,45
reka-core-20240501,1191.7411617232483,26,1146.3982188191571,41,1106.021780166228,35
yi-large-preview,1249.6504806040225,13,1201.5998862932602,23,1148.1608073522002,24
llama-3.1-405b-instruct,1275.916777274383,5,1269.2345538707164,3,1230.1126197271506,3
deepseek-coder-v2-0724,1222.8786770322913,19,1227.9641697425627,16,1230.8540323387574,2
mistral-large-2402,1143.9785551297332,42,1174.8797213800667,29,1080.4615333404083,44
deepseek-coder-v2,1120.6287462443997,47,1164.435631491982,33,1184.7446443679924,15
eureka-chatbot,1186.5763151096328,28,1235.237810353091,12,1103.8107726528915,37
reka-flash-preview-20240611,1150.6478750195438,39,1128.8158126503758,49,1068.8739190582805,46
phi-3-mini-4k-instruct-june-2024,1070.413524886335,54,1038.2032549947435,55,1036.6909767410061,51
nemotron-4-340b-instruct,1170.9783628947948,32,1158.6334320880405,38,1138.5330722494966,27
gpt-4-1106-preview,1267.140462206893,9,1212.2253345106933,22,1198.1382788493725,10
gpt-3.5-turbo-0125,1085.5158571063498,50,1174.1259476245293,30,1019.0491335285966,55
command-r-plus,1208.8201568680906,22,1137.7772756601757,47,1110.7261221327337,34
chatgpt-4o-latest,1328.9606759906146,1,1322.4438738827234,1,1259.4150093639819,1
yi-1.5-34b-chat,1168.4459709250737,33,1145.9832497125233,43,1068.7349388825014,47
phi-3-medium-4k-instruct,1130.1511506378263,46,1140.6341514694461,46,1081.793413276488,42
reka-core-20240722,1224.8353851539887,18,1230.8367356276394,15,1166.0265931547592,17
codestral-2405,1054.7268752331147,55,1039.885546309628,54,1081.7898729710962,43
phi-3-small-8k-instruct,1076.4229622035364,53,1145.155426684921,45,1064.0766723474912,48
snowflake-arctic-instruct,1189.17619828544,27,1101.6705422885143,53,1052.878486858255,50
gemma-2-9b-it-simpo,1282.9525976893628,3,1186.4641065498727,25,1154.3433266415518,21
glm-4-0520,1196.5480407008847,23,1190.2331728467977,24,1134.416747947256,28
gemma-1.1-7b-it,1077.9124120882939,52,1107.3951482002585,52,1022.0413900589291,54
dbrx-instruct-preview,1139.9830673279425,44,1163.0077416202157,34,1125.8450106569533,29
