model,app_development,app_development_rank,clone_development,clone_development_rank,game_development,game_development_rank,website_design,website_design_rank
deepseek-v3,922.944065909352,19.0,908.6289052168479,18.0,901.3231819247599,21,900.0260450626974,20.0
apptinker,1109.2992620425132,4.0,1148.7024233528452,3.0,1130.3057332808687,3,1107.251453735412,5.0
claude-3-5-sonnet-20241022,1210.123154215627,1.0,1195.1033447952661,1.0,1195.1587932445896,1,1168.4667146499637,2.0
o1-mini-2024-09-12,985.8899036338489,12.0,983.7725090758477,13.0,997.152701506812,15,979.1083518723118,15.0
gemini-1.5-pro-002,833.1825194234463,22.0,844.2871262383974,21.0,864.8661074727343,22,836.11856048207,22.0
o3-mini-2025-01-31-high,1087.885875450078,5.0,1103.8946686014563,5.0,1119.5275262039113,5,1125.9033566948967,3.0
qwen-2.5-coder-32b-instruct,872.2732064607945,21.0,837.7614988886055,22.0,859.7515183617405,23,830.2369502787018,23.0
o3-mini-2025-01-31,1055.4110026415049,7.0,1060.7329894311722,8.0,1052.0243621270797,9,1044.3571401141571,10.0
gpt-4o-2024-11-20,907.7940696231283,20.0,889.7942570908011,20.0,924.3076817461456,20,889.8299475269416,21.0
gemini-2.0-flash-thinking-exp-1219,977.7548137601667,14.0,967.3151820615162,16.0,983.5406064090631,16,969.0647850803315,16.0
claude-3-5-haiku-20241022,1079.5594119065088,6.0,1074.4490550703388,7.0,1090.7479581747655,6,1096.6808310845715,6.0
gemini-2.0-pro-exp-02-05,1049.5903760663325,8.0,1020.5645580650768,9.0,1087.0263018343358,7,1062.4464869396184,8.0
gemini-exp-1206,992.9138419394188,11.0,979.1080517231252,14.0,962.2294358971442,17,940.4439615177679,17.0
gemini-2.0-flash-exp,943.1464160188533,16.0,912.725111180506,17.0,949.0143487367566,19,916.2398093112399,18.0
qwen-max-2025-01-25,925.58292213797,17.0,896.5472147904492,19.0,951.970801134818,18,912.0443318237154,19.0
o1-2024-12-17,978.9391586181329,13.0,1008.2523676280222,10.0,1014.0129660752241,12,986.9007381089668,14.0
o3-mini-2025-01-31-high-so-false,1124.1124716225409,3.0,1133.2630010603687,4.0,1126.7304887049256,4,1123.2594184775373,4.0
o3-mini-2025-01-31-so-false,1031.6507094581352,10.0,1098.840966537326,6.0,1055.2635385129677,8,1055.1794450968564,9.0
deepseek-r1,1185.3488725490918,2.0,1157.8849792088859,2.0,1154.3101151677183,2,1178.4352218637405,1.0
llama-v3.1-405b-instruct,797.6110420502919,23.0,799.7436787411644,23.0,704.6974813106517,25,743.0264063329898,24.0
gemini-2.0-flash-thinking-exp-01-21,972.0631277917695,15.0,974.187648965944,15.0,1033.0480898337487,10,1021.0962773599335,12.0
o1-2024-12-17-so-false,1033.617430690809,9.0,1001.6276780341127,12.0,1026.551233666305,11,1039.971535750293,11.0
llama-v3.3-70b-instruct,,,,,1000.0,13,1000.0,13.0
gemini-2.0-flash-001-so-false,923.3063459896855,18.0,1002.812784241925,11.0,816.4390286729342,24,1073.9122308352853,7.0
gpt-4-turbo,,,,,1000.0,13,,
